policy,rc_flip_prob,rep,mean_reward,mean_regret,llm_coverage
RuleLookup,0.0,0,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,0,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,0,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,0,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,0,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,1,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,1,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,1,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,1,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,1,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,2,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,2,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,2,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,2,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,2,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,3,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,3,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,3,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,3,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,3,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,4,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,4,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,4,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,4,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,4,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,5,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,5,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,5,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,5,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,5,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,6,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,6,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,6,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,6,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,6,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,7,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,7,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,7,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,7,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,7,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,8,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,8,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,8,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,8,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,8,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,9,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,9,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,9,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,9,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,9,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,10,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,10,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,10,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,10,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,10,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,11,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,11,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,11,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,11,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,11,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,12,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,12,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,12,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,12,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,12,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,13,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,13,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,13,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,13,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,13,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,14,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,14,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,14,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,14,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,14,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,15,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,15,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,15,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,15,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,15,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,16,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,16,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,16,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,16,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,16,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,17,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,17,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,17,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,17,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,17,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,18,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,18,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,18,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,18,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,18,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.0,19,0.6351351351351354,0.03333333333333333,0.0
EpsilonGreedy,0.0,19,0.6334234234234237,0.03504504504504505,0.0
M6 LinUCB,0.0,19,0.5088288288288288,0.1596396396396396,0.0
M7 LinUCB+LLM,0.0,19,0.4840540540540541,0.1844144144144144,0.0
M8 RewardRanker,0.0,19,0.6351351351351354,0.03333333333333333,0.0
RuleLookup,0.1,0,0.6297297297297301,0.03513513513513513,0.0
EpsilonGreedy,0.1,0,0.6280180180180184,0.036846846846846845,0.0
M6 LinUCB,0.1,0,0.5097297297297297,0.15513513513513513,0.0
M7 LinUCB+LLM,0.1,0,0.49126126126126135,0.17360360360360358,0.0
M8 RewardRanker,0.1,0,0.6297297297297301,0.03513513513513513,0.0
RuleLookup,0.1,1,0.6252252252252255,0.038468468468468464,0.0
EpsilonGreedy,0.1,1,0.6287387387387388,0.03495495495495496,0.0
M6 LinUCB,0.1,1,0.5200900900900901,0.14360360360360364,0.0
M7 LinUCB+LLM,0.1,1,0.49486486486486486,0.16882882882882885,0.0
M8 RewardRanker,0.1,1,0.6252252252252255,0.038468468468468464,0.0
RuleLookup,0.1,2,0.6315315315315319,0.033963963963963964,0.0
EpsilonGreedy,0.1,2,0.6288288288288291,0.03666666666666667,0.0
M6 LinUCB,0.1,2,0.5262162162162162,0.1392792792792793,0.0
M7 LinUCB+LLM,0.1,2,0.5023423423423424,0.16315315315315315,0.0
M8 RewardRanker,0.1,2,0.6319819819819823,0.03351351351351351,0.0
RuleLookup,0.1,3,0.6279279279279281,0.02621621621621622,0.0
EpsilonGreedy,0.1,3,0.6266666666666667,0.02747747747747748,0.0
M6 LinUCB,0.1,3,0.5124324324324324,0.1417117117117117,0.0
M7 LinUCB+LLM,0.1,3,0.493963963963964,0.16018018018018018,0.0
M8 RewardRanker,0.1,3,0.6279279279279281,0.02621621621621622,0.0
RuleLookup,0.1,4,0.6220720720720724,0.04252252252252252,0.0
EpsilonGreedy,0.1,4,0.6316216216216218,0.03297297297297297,0.0
M6 LinUCB,0.1,4,0.5180180180180181,0.1465765765765766,0.0
M7 LinUCB+LLM,0.1,4,0.48837837837837844,0.1762162162162162,0.0
M8 RewardRanker,0.1,4,0.6225225225225228,0.04207207207207207,0.0
RuleLookup,0.1,5,0.6171171171171174,0.044684684684684686,0.0
EpsilonGreedy,0.1,5,0.6122522522522525,0.04954954954954955,0.0
M6 LinUCB,0.1,5,0.5133333333333333,0.1484684684684685,0.0
M7 LinUCB+LLM,0.1,5,0.4935135135135135,0.1682882882882883,0.0
M8 RewardRanker,0.1,5,0.6171171171171174,0.044684684684684686,0.0
RuleLookup,0.1,6,0.6328828828828832,0.038918918918918924,0.0
EpsilonGreedy,0.1,6,0.6277477477477479,0.04405405405405405,0.0
M6 LinUCB,0.1,6,0.524054054054054,0.14774774774774774,0.0
M7 LinUCB+LLM,0.1,6,0.4927027027027027,0.1790990990990991,0.0
M8 RewardRanker,0.1,6,0.6328828828828832,0.038918918918918924,0.0
RuleLookup,0.1,7,0.6270270270270274,0.03558558558558558,0.0
EpsilonGreedy,0.1,7,0.6329729729729732,0.02963963963963964,0.0
M6 LinUCB,0.1,7,0.5133333333333334,0.1492792792792793,0.0
M7 LinUCB+LLM,0.1,7,0.4872072072072073,0.1754054054054054,0.0
M8 RewardRanker,0.1,7,0.6270270270270274,0.03558558558558558,0.0
RuleLookup,0.1,8,0.6378378378378381,0.03288288288288289,0.0
EpsilonGreedy,0.1,8,0.6323423423423425,0.03837837837837838,0.0
M6 LinUCB,0.1,8,0.5227927927927928,0.14792792792792794,0.0
M7 LinUCB+LLM,0.1,8,0.49459459459459465,0.1761261261261261,0.0
M8 RewardRanker,0.1,8,0.6378378378378381,0.03288288288288289,0.0
RuleLookup,0.1,9,0.6310810810810813,0.03738738738738738,0.0
EpsilonGreedy,0.1,9,0.6361261261261264,0.032342342342342345,0.0
M6 LinUCB,0.1,9,0.5056756756756757,0.1627927927927928,0.0
M7 LinUCB+LLM,0.1,9,0.4828828828828829,0.1855855855855856,0.0
M8 RewardRanker,0.1,9,0.6315315315315319,0.036936936936936934,0.0
RuleLookup,0.1,10,0.6193693693693697,0.036936936936936934,0.0
EpsilonGreedy,0.1,10,0.6303603603603605,0.02594594594594595,0.0
M6 LinUCB,0.1,10,0.5047747747747748,0.15153153153153154,0.0
M7 LinUCB+LLM,0.1,10,0.484954954954955,0.17135135135135138,0.0
M8 RewardRanker,0.1,10,0.6193693693693697,0.036936936936936934,0.0
RuleLookup,0.1,11,0.6283783783783787,0.03738738738738738,0.0
EpsilonGreedy,0.1,11,0.6280180180180184,0.03774774774774775,0.0
M6 LinUCB,0.1,11,0.5088288288288288,0.15693693693693692,0.0
M7 LinUCB+LLM,0.1,11,0.4872072072072073,0.17855855855855857,0.0
M8 RewardRanker,0.1,11,0.6283783783783787,0.03738738738738738,0.0
RuleLookup,0.1,12,0.6081081081081083,0.03936936936936937,0.0
EpsilonGreedy,0.1,12,0.6043243243243247,0.043153153153153156,0.0
M6 LinUCB,0.1,12,0.5016216216216217,0.1458558558558559,0.0
M7 LinUCB+LLM,0.1,12,0.49261261261261263,0.15486486486486487,0.0
M8 RewardRanker,0.1,12,0.6085585585585588,0.038918918918918924,0.0
RuleLookup,0.1,13,0.6315315315315319,0.03558558558558558,0.0
EpsilonGreedy,0.1,13,0.630720720720721,0.0363963963963964,0.0
M6 LinUCB,0.1,13,0.5065765765765766,0.1605405405405405,0.0
M7 LinUCB+LLM,0.1,13,0.48315315315315316,0.18396396396396397,0.0
M8 RewardRanker,0.1,13,0.6324324324324327,0.034684684684684684,0.0
RuleLookup,0.1,14,0.6355855855855859,0.02990990990990991,0.0
EpsilonGreedy,0.1,14,0.636846846846847,0.028648648648648654,0.0
M6 LinUCB,0.1,14,0.5153153153153154,0.1501801801801802,0.0
M7 LinUCB+LLM,0.1,14,0.4885585585585586,0.17693693693693696,0.0
M8 RewardRanker,0.1,14,0.6355855855855859,0.02990990990990991,0.0
RuleLookup,0.1,15,0.6279279279279282,0.03783783783783783,0.0
EpsilonGreedy,0.1,15,0.6235135135135138,0.04225225225225226,0.0
M6 LinUCB,0.1,15,0.5191891891891892,0.1465765765765766,0.0
M7 LinUCB+LLM,0.1,15,0.4935135135135136,0.17225225225225227,0.0
M8 RewardRanker,0.1,15,0.6279279279279282,0.03783783783783783,0.0
RuleLookup,0.1,16,0.6265765765765768,0.033783783783783786,0.0
EpsilonGreedy,0.1,16,0.6219819819819822,0.03837837837837838,0.0
M6 LinUCB,0.1,16,0.5106306306306306,0.14972972972972973,0.0
M7 LinUCB+LLM,0.1,16,0.4840540540540541,0.1763063063063063,0.0
M8 RewardRanker,0.1,16,0.6265765765765768,0.033783783783783786,0.0
RuleLookup,0.1,17,0.6189189189189191,0.042612612612612615,0.0
EpsilonGreedy,0.1,17,0.6156756756756758,0.04585585585585586,0.0
M6 LinUCB,0.1,17,0.5095495495495496,0.15198198198198198,0.0
M7 LinUCB+LLM,0.1,17,0.480900900900901,0.18063063063063067,0.0
M8 RewardRanker,0.1,17,0.6189189189189191,0.042612612612612615,0.0
RuleLookup,0.1,18,0.633783783783784,0.033783783783783786,0.0
EpsilonGreedy,0.1,18,0.6280180180180183,0.039549549549549555,0.0
M6 LinUCB,0.1,18,0.5146846846846848,0.15288288288288288,0.0
M7 LinUCB+LLM,0.1,18,0.49126126126126135,0.1763063063063063,0.0
M8 RewardRanker,0.1,18,0.633783783783784,0.033783783783783786,0.0
RuleLookup,0.1,19,0.642792792792793,0.029909909909909913,0.0
EpsilonGreedy,0.1,19,0.6359459459459461,0.036756756756756756,0.0
M6 LinUCB,0.1,19,0.5227927927927928,0.1499099099099099,0.0
M7 LinUCB+LLM,0.1,19,0.49549549549549554,0.17720720720720723,0.0
M8 RewardRanker,0.1,19,0.642792792792793,0.029909909909909913,0.0
RuleLookup,0.2,0,0.6243243243243246,0.03729729729729729,0.0
EpsilonGreedy,0.2,0,0.6277477477477479,0.033873873873873875,0.0
M6 LinUCB,0.2,0,0.509009009009009,0.15261261261261264,0.0
M7 LinUCB+LLM,0.2,0,0.4816216216216217,0.18000000000000005,0.0
M8 RewardRanker,0.2,0,0.6243243243243246,0.03729729729729729,0.0
RuleLookup,0.2,1,0.6292792792792795,0.027567567567567564,0.0
EpsilonGreedy,0.2,1,0.6080180180180182,0.04882882882882884,0.0
M6 LinUCB,0.2,1,0.5334234234234234,0.12342342342342347,0.0
M7 LinUCB+LLM,0.2,1,0.514954954954955,0.1418918918918919,0.0
M8 RewardRanker,0.2,1,0.6292792792792795,0.027567567567567564,0.0
RuleLookup,0.2,2,0.6522522522522525,0.03513513513513513,0.0
EpsilonGreedy,0.2,2,0.6179279279279281,0.06945945945945947,0.0
M6 LinUCB,0.2,2,0.5507207207207208,0.1366666666666667,0.0
M7 LinUCB+LLM,0.2,2,0.5277477477477478,0.15963963963963962,0.0
M8 RewardRanker,0.2,2,0.6522522522522525,0.03513513513513513,0.0
RuleLookup,0.2,3,0.6238738738738743,0.03558558558558558,0.0
EpsilonGreedy,0.2,3,0.6224324324324327,0.037027027027027024,0.0
M6 LinUCB,0.2,3,0.5142342342342343,0.14522522522522524,0.0
M7 LinUCB+LLM,0.2,3,0.4876576576576577,0.1718018018018018,0.0
M8 RewardRanker,0.2,3,0.6243243243243247,0.03513513513513513,0.0
RuleLookup,0.2,4,0.6229729729729733,0.03783783783783784,0.0
EpsilonGreedy,0.2,4,0.6038738738738741,0.05693693693693694,0.0
M6 LinUCB,0.2,4,0.5277477477477478,0.13306306306306306,0.0
M7 LinUCB+LLM,0.2,4,0.5056756756756757,0.15513513513513513,0.0
M8 RewardRanker,0.2,4,0.6234234234234237,0.03738738738738739,0.0
RuleLookup,0.2,5,0.6288288288288291,0.03873873873873874,0.0
EpsilonGreedy,0.2,5,0.6197297297297301,0.04783783783783784,0.0
M6 LinUCB,0.2,5,0.5223423423423423,0.14522522522522527,0.0
M7 LinUCB+LLM,0.2,5,0.4962162162162163,0.17135135135135135,0.0
M8 RewardRanker,0.2,5,0.6288288288288291,0.03873873873873874,0.0
RuleLookup,0.2,6,0.6189189189189191,0.04126126126126127,0.0
EpsilonGreedy,0.2,6,0.6164864864864869,0.0436936936936937,0.0
M6 LinUCB,0.2,6,0.5137837837837838,0.14639639639639643,0.0
M7 LinUCB+LLM,0.2,6,0.4885585585585586,0.17162162162162162,0.0
M8 RewardRanker,0.2,6,0.6189189189189191,0.04126126126126127,0.0
RuleLookup,0.2,7,0.6369369369369372,0.033783783783783786,0.0
EpsilonGreedy,0.2,7,0.6266666666666669,0.04405405405405405,0.0
M6 LinUCB,0.2,7,0.516936936936937,0.15378378378378377,0.0
M7 LinUCB+LLM,0.2,7,0.4948648648648649,0.1758558558558559,0.0
M8 RewardRanker,0.2,7,0.6369369369369372,0.033783783783783786,0.0
RuleLookup,0.2,8,0.6247747747747749,0.03279279279279279,0.0
EpsilonGreedy,0.2,8,0.6010810810810814,0.05648648648648649,0.0
M6 LinUCB,0.2,8,0.5291891891891892,0.12837837837837837,0.0
M7 LinUCB+LLM,0.2,8,0.5104504504504506,0.14711711711711714,0.0
M8 RewardRanker,0.2,8,0.6247747747747749,0.03279279279279279,0.0
RuleLookup,0.2,9,0.6409909909909912,0.02846846846846847,0.0
EpsilonGreedy,0.2,9,0.6170270270270272,0.05243243243243244,0.0
M6 LinUCB,0.2,9,0.5414414414414415,0.12801801801801804,0.0
M7 LinUCB+LLM,0.2,9,0.5214414414414416,0.14801801801801806,0.0
M8 RewardRanker,0.2,9,0.641891891891892,0.027567567567567567,0.0
